swimmer_name,swimmer_ID,event,event_ID,time,meet_name,year,date,additional_info
Mohamed Abujiba,1479867,50 Free Y,150,22.90,Calvin v Albion v Alma, 2023,"Oct 27, 2023",[]
Mohamed Abujiba,1479867,100 Free Y,1100,50.82,GCC v Calvin, 2024,"Jan 12, 2024",[]
Mohamed Abujiba,1479867,50 Breast Y,350,26.09,MIAA Championships, 2024,"Feb 21, 2024",[]
Mohamed Abujiba,1479867,50 Breast Y,350,26.92,Calvin Quad, 2023,"Nov 04, 2023",['Extracted']
Mohamed Abujiba,1479867,50 Breast Y,350,27.64,Calvin GVSU SVSU, 2023,"Oct 14, 2023",['Extracted']
Mohamed Abujiba,1479867,100 Breast Y,3100,58.04,MIAA Championships, 2024,"Feb 23, 2024",[]
Mohamed Abujiba,1479867,100 Breast Y,3100,59.07,Calvin Wayne State, 2024,"Jan 27, 2024",[]
Mohamed Abujiba,1479867,100 Breast Y,3100,58.83,Chicago vs. Calvin, 2024,"Jan 20, 2024",[]
Mohamed Abujiba,1479867,100 Breast Y,3100,59.37,CMU Quad Meet, 2024,"Jan 13, 2024",[]
Mohamed Abujiba,1479867,100 Breast Y,3100,57.63,Calvin Winter Invitational, 2023,"Dec 01, 2023",[]
Mohamed Abujiba,1479867,100 Breast Y,3100,57.80,Calvin Winter Invitational, 2023,"Dec 01, 2023",[]
Mohamed Abujiba,1479867,100 Breast Y,3100,1:00.39,Calvin at Wheaton, 2023,"Nov 11, 2023",[]
Mohamed Abujiba,1479867,100 Breast Y,3100,58.09,Calvin Quad, 2023,"Nov 04, 2023",[]
Mohamed Abujiba,1479867,100 Breast Y,3100,59.54,Calvin GVSU SVSU, 2023,"Oct 14, 2023",[]
Mohamed Abujiba,1479867,200 Breast Y,3200,2:16.30,MIAA Championships, 2024,"Feb 24, 2024",[]
Mohamed Abujiba,1479867,200 Breast Y,3200,2:12.41,Chicago vs. Calvin, 2024,"Jan 20, 2024",[]
Mohamed Abujiba,1479867,200 Breast Y,3200,2:16.85,CMU Quad Meet, 2024,"Jan 13, 2024",[]
Mohamed Abujiba,1479867,200 Breast Y,3200,2:07.60,Calvin Winter Invitational, 2023,"Dec 02, 2023",[]
Mohamed Abujiba,1479867,200 Breast Y,3200,2:09.24,Calvin Winter Invitational, 2023,"Dec 02, 2023",[]
Mohamed Abujiba,1479867,200 Breast Y,3200,2:16.34,Calvin at Wheaton, 2023,"Nov 11, 2023",[]
